Pair,PSNR,SSIM,LPIPS
captured_ref.png vs captured_rec.png,28.097637955305622,0.8765996397304294,0.19851499795913696
chair_ref.png vs chair_rec.png,28.069992174479246,0.7970500415075554,0.22954420745372772
hamburger_ref.png vs hamburger_rec.png,28.15227624815312,0.8137460047562406,0.24156326055526733
hat_ref.png vs hat_rec.png,28.222718686761645,0.865714049724244,0.2905068099498749
horse_ref.png vs horse_rec.png,28.07094907782436,0.6713618298208835,0.42735448479652405
marble_ref.png vs marble_rec.png,28.012396038595515,0.7544623154920175,0.3610284924507141
police_woman_ref.png vs police_woman_rec.png,28.170030907628497,0.6930484213144565,0.4076314866542816
robot_ref.png vs robot_rec.png,28.055460334052707,0.6769981570797456,0.4768170714378357
stripes_ref.png vs stripes_rec.png,28.08466717522488,0.7448350248915852,0.3066023886203766
teapot_ref.png vs teapot_rec.png,28.185880379694645,0.8752506519531326,0.2558857202529907

Med,28.11220089777202,0.7769066136270291,0.31954489201307296
